order_id,date,product_name,category,flavor,channel,region,units_sold,price_per_unit,cost_per_unit,discount_pct,revenue,total_cost,profit
PF-100001,2025-10-16,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,South,5,42.99,18.5,0.0,214.95,92.5,122.45
PF-100002,2024-04-14,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Northeast,2,39.99,16.25,0.03,77.58,32.5,45.08
PF-100003,2024-02-02,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,4,42.99,18.5,0.0,171.96,74.0,97.96
PF-100004,2025-07-28,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,5,42.99,18.5,0.0,214.95,92.5,122.45
PF-100005,2025-04-04,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Northeast,2,39.99,16.25,0.0,79.98,32.5,47.48
PF-100006,2025-12-15,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Northeast,3,43.99,19.1,0.1,118.77,57.3,61.47
PF-100007,2024-04-14,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,West,2,42.99,18.5,0.1,77.38,37.0,40.38
PF-100008,2024-02-14,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,West,2,38.99,15.9,0.05,74.08,31.8,42.28
PF-100009,2024-03-21,PulseFuel Mango Pump,Pump Formula,Mango,Retail,Midwest,3,39.99,16.25,0.03,116.37,48.75,67.62
PF-100010,2025-08-14,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Midwest,3,42.99,18.5,0.1,116.07,55.5,60.57
PF-100011,2024-03-22,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Retail,South,2,24.99,9.5,0.03,48.48,19.0,29.48
PF-100012,2025-10-12,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,South,1,24.99,9.5,0.1,22.49,9.5,12.99
PF-100013,2025-12-19,PulseFuel Variety Sample Pack,Sample Pack,Variety,Amazon,Midwest,6,14.99,5.25,0.0,89.94,31.5,58.44
PF-100014,2025-06-30,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,4,38.99,15.9,0.05,148.16,63.6,84.56
PF-100015,2025-12-02,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Northeast,2,41.99,17.8,0.0,83.98,35.6,48.38
PF-100016,2024-11-19,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,4,43.99,19.1,0.1,158.36,76.4,81.96
PF-100017,2024-08-05,PulseFuel Mango Pump,Pump Formula,Mango,Website,West,3,39.99,16.25,0.15,101.97,48.75,53.22
PF-100018,2024-05-26,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Midwest,8,41.99,17.8,0.1,302.33,142.4,159.93
PF-100019,2025-08-21,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,South,2,43.99,19.1,0.0,87.98,38.2,49.78
PF-100020,2025-06-05,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Amazon,West,2,43.99,19.1,0.0,87.98,38.2,49.78
PF-100021,2025-10-04,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,Midwest,3,42.99,18.5,0.05,122.52,55.5,67.02
PF-100022,2025-01-25,PulseFuel Mango Pump,Pump Formula,Mango,Website,South,4,39.99,16.25,0.0,159.96,65.0,94.96
PF-100023,2025-11-27,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,Midwest,2,38.99,15.9,0.05,74.08,31.8,42.28
PF-100024,2025-10-18,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Northeast,4,41.99,17.8,0.0,167.96,71.2,96.76
PF-100025,2024-09-26,PulseFuel Variety Sample Pack,Sample Pack,Variety,Amazon,South,5,14.99,5.25,0.0,74.95,26.25,48.7
PF-100026,2025-10-02,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Midwest,2,41.99,17.8,0.0,83.98,35.6,48.38
PF-100027,2025-01-17,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Amazon,West,5,38.99,15.9,0.1,175.46,79.5,95.96
PF-100028,2024-01-01,PulseFuel Mango Pump,Pump Formula,Mango,Website,Northeast,3,39.99,16.25,0.1,107.97,48.75,59.22
PF-100029,2024-11-10,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,Midwest,6,41.99,17.8,0.0,251.94,106.8,145.14
PF-100030,2024-03-28,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Retail,West,5,38.99,15.9,0.05,185.2,79.5,105.7
PF-100031,2024-05-08,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Midwest,4,42.99,18.5,0.1,154.76,74.0,80.76
PF-100032,2025-06-24,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,Northeast,1,24.99,9.5,0.05,23.74,9.5,14.24
PF-100033,2025-12-31,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,Midwest,1,41.99,17.8,0.03,40.73,17.8,22.93
PF-100034,2025-06-13,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,Northeast,4,43.99,19.1,0.0,175.96,76.4,99.56
PF-100035,2025-08-25,PulseFuel Mango Pump,Pump Formula,Mango,Amazon,Northeast,3,39.99,16.25,0.1,107.97,48.75,59.22
PF-100036,2025-10-08,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Northeast,3,42.99,18.5,0.1,116.07,55.5,60.57
PF-100037,2024-03-13,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,South,2,43.99,19.1,0.05,83.58,38.2,45.38
PF-100038,2025-08-07,PulseFuel Mango Pump,Pump Formula,Mango,Website,South,6,39.99,16.25,0.15,203.95,97.5,106.45
PF-100039,2024-07-13,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Amazon,South,6,42.99,18.5,0.05,245.04,111.0,134.04
PF-100040,2025-04-23,PulseFuel Energy Gummies,Energy Gummies,Mixed Berry,Website,Midwest,1,24.99,9.5,0.0,24.99,9.5,15.49
PF-100041,2024-03-03,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Website,West,2,43.99,19.1,0.05,83.58,38.2,45.38
PF-100042,2024-07-15,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,4,42.99,18.5,0.1,154.76,74.0,80.76
PF-100043,2025-04-18,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Retail,South,3,41.99,17.8,0.05,119.67,53.4,66.27
PF-100044,2024-04-10,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Retail,West,1,42.99,18.5,0.0,42.99,18.5,24.49
PF-100045,2024-08-30,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Northeast,3,42.99,18.5,0.15,109.62,55.5,54.12
PF-100046,2024-03-01,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,South,3,42.99,18.5,0.15,109.62,55.5,54.12
PF-100047,2024-10-19,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,West,4,43.99,19.1,0.05,167.16,76.4,90.76
PF-100048,2025-11-08,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,2,38.99,15.9,0.0,77.98,31.8,46.18
PF-100049,2025-08-16,PulseFuel Fruit Punch Non-Stim,Non-Stim Pre-Workout,Fruit Punch,Website,South,1,38.99,15.9,0.0,38.99,15.9,23.09
PF-100050,2025-08-21,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,Midwest,3,43.99,19.1,0.0,131.97,57.3,74.67
PF-100051,2025-06-04,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Midwest,4,42.99,18.5,0.05,163.36,74.0,89.36
PF-100052,2025-02-17,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Retail,South,2,42.99,18.5,0.05,81.68,37.0,44.68
PF-100053,2024-02-10,PulseFuel Mango Pump,Pump Formula,Mango,Website,Midwest,4,39.99,16.25,0.1,143.96,65.0,78.96
PF-100054,2024-09-24,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,Northeast,3,41.99,17.8,0.05,119.67,53.4,66.27
PF-100055,2024-05-14,PulseFuel Mango Pump,Pump Formula,Mango,Website,South,5,39.99,16.25,0.0,199.95,81.25,118.7
PF-100056,2024-01-10,PulseFuel Sour Gummy Pre,Stim Pre-Workout,Sour Gummy,Retail,West,4,43.99,19.1,0.0,175.96,76.4,99.56
PF-100057,2025-07-04,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,West,1,41.99,17.8,0.0,41.99,17.8,24.19
PF-100058,2024-09-07,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Website,West,3,41.99,17.8,0.1,113.37,53.4,59.97
PF-100059,2025-09-18,PulseFuel Variety Sample Pack,Sample Pack,Variety,Retail,South,2,14.99,5.25,0.05,28.48,10.5,17.98
PF-100060,2025-07-21,PulseFuel Watermelon Pre,Stim Pre-Workout,Watermelon,Amazon,West,2,41.99,17.8,0.0,83.98,35.6,48.38
PF-100061,2024-09-27,PulseFuel Blue Raspberry Pre,Stim Pre-Workout,Blue Raspberry,Website,Midwest,4,42.99,18.5,0.1,154.76,74.0,80.76
